iter	Passed	Remaining
0	0	434
1	0	408
2	1	398
3	1	389
4	1	385
5	2	382
6	2	378
7	3	378
8	3	374
9	3	371
10	4	371
11	4	370
12	4	371
13	5	370
14	5	371
15	6	369
16	6	369
17	6	368
18	7	368
19	7	367
20	7	366
21	8	367
22	8	367
23	9	368
24	9	368
25	9	367
26	10	367
27	10	365
28	10	363
29	11	361
30	11	360
31	11	359
32	12	358
33	12	357
34	13	370
35	13	369
36	14	368
37	14	366
38	14	365
39	15	364
40	15	363
41	15	361
42	16	360
43	16	359
44	16	357
45	17	356
46	17	355
47	17	354
48	18	353
49	18	352
50	18	351
51	19	350
52	19	349
53	19	348
54	20	347
55	20	347
56	20	346
57	21	345
58	21	344
59	21	343
60	22	343
61	22	342
62	22	341
63	23	340
64	23	339
65	23	339
66	24	338
67	24	335
68	24	334
69	25	333
70	25	333
71	25	332
72	26	331
73	26	331
74	26	330
75	27	329
76	27	329
77	27	328
78	28	328
79	28	329
80	28	328
81	29	328
82	29	327
83	29	327
84	30	324
85	30	324
86	30	322
87	31	321
88	31	321
89	31	320
90	32	320
91	32	319
92	32	319
93	33	318
94	33	318
95	33	317
96	34	317
97	34	316
98	34	316
99	35	315
100	35	315
101	35	313
102	35	313
103	36	312
104	36	311
105	36	311
106	37	310
107	37	310
108	37	309
109	38	309
110	38	308
111	38	307
112	39	307
113	39	306
114	39	306
115	40	305
116	40	304
117	40	304
118	40	303
119	41	302
120	41	302
121	41	301
122	42	300
123	42	299
124	42	299
125	43	298
126	43	298
127	43	296
128	43	296
129	44	296
130	44	295
131	44	295
132	45	295
133	45	294
134	45	294
135	46	293
136	46	293
137	46	292
138	47	292
139	47	291
140	47	291
141	48	290
142	48	290
143	48	290
144	49	289
145	49	289
146	49	288
147	50	288
148	50	288
149	50	288
150	51	287
151	51	287
152	51	287
153	52	286
154	52	286
155	52	286
156	53	285
157	53	285
158	53	285
159	54	284
160	54	284
161	54	283
162	55	283
163	55	283
164	55	282
165	56	282
166	56	282
167	56	281
168	57	281
169	57	280
170	57	280
171	58	280
172	58	279
173	58	279
174	59	279
175	59	278
176	59	278
177	60	277
178	60	277
179	60	277
180	62	283
181	62	283
182	63	282
183	63	282
184	63	281
185	64	281
186	64	280
187	64	280
188	65	279
189	65	279
190	65	279
191	66	278
192	66	278
193	66	277
194	67	277
195	67	276
196	67	276
197	68	276
198	68	276
199	68	275
200	69	275
201	69	274
202	69	274
203	70	274
204	70	274
205	70	273
206	71	273
207	71	272
208	72	272
209	72	272
210	72	272
211	73	271
212	73	271
213	73	270
214	74	270
215	74	270
216	74	269
217	75	269
218	75	269
219	75	268
220	76	268
221	76	268
222	76	267
223	77	267
224	77	267
225	77	266
226	78	266
227	78	266
228	78	265
229	79	265
230	79	265
231	79	264
232	80	265
233	80	264
234	81	264
235	81	264
236	81	263
237	82	263
238	82	262
