iter	Passed	Remaining
0	46	46277
1	46	23306
2	47	15639
3	47	11839
4	47	9536
5	48	8000
6	48	6912
7	49	6090
8	49	5458
9	49	4944
10	50	4528
11	50	4180
12	51	3881
13	51	3628
14	51	3406
15	52	3219
16	52	3049
17	53	2897
18	53	2765
19	54	2646
20	54	2536
21	54	2438
22	55	2347
23	55	2264
24	56	2189
25	56	2118
26	56	2053
27	57	1991
28	57	1936
29	58	1894
30	59	1846
31	59	1801
32	60	1760
33	60	1719
34	62	1723
35	62	1686
36	63	1656
37	64	1623
38	64	1591
39	65	1562
40	66	1545
41	66	1517
42	66	1489
43	67	1463
44	67	1438
45	68	1414
46	68	1391
47	69	1369
48	69	1349
49	69	1329
50	70	1309
51	70	1291
52	71	1273
53	71	1255
54	72	1239
55	72	1223
56	73	1208
57	73	1193
58	73	1179
59	74	1165
60	74	1151
61	75	1138
62	75	1125
63	76	1113
64	76	1101
65	77	1089
66	77	1078
67	77	1067
68	78	1056
69	78	1046
70	79	1036
71	79	1025
72	80	1016
73	80	1007
74	80	997
75	81	988
76	81	980
77	82	971
78	82	963
79	83	954
80	83	947
81	83	939
82	84	928
83	84	921
84	84	913
85	85	906
86	85	899
87	86	892
88	86	886
89	86	879
90	87	872
91	87	867
92	88	861
93	88	855
94	89	849
95	89	843
96	89	837
97	90	831
98	90	826
99	91	821
100	91	815
101	92	811
102	92	806
103	93	801
104	93	796
105	93	791
106	94	787
107	94	782
108	95	778
109	95	773
110	95	768
111	96	764
112	96	760
113	97	756
114	97	752
115	98	748
116	98	743
117	98	739
118	99	735
119	99	732
120	100	728
121	100	724
122	101	720
123	101	716
124	101	713
125	102	709
126	102	705
127	103	702
128	103	699
129	104	696
130	104	693
131	104	689
132	105	686
133	105	683
134	106	680
135	106	677
136	107	674
137	107	671
138	107	668
139	108	665
140	108	662
141	109	659
142	109	656
143	109	653
144	110	651
145	110	648
146	111	645
147	111	642
148	112	640
149	112	637
150	112	635
151	113	632
152	113	630
153	114	627
154	114	625
155	115	622
156	115	620
157	115	618
158	116	615
159	116	613
160	117	610
161	117	608
162	117	605
163	118	603
164	118	601
165	119	598
166	119	597
167	120	594
168	120	592
169	120	590
170	121	588
171	121	586
172	122	584
173	122	582
174	123	580
175	123	578
176	123	576
177	124	574
178	124	572
179	125	570
180	125	568
181	126	566
182	126	564
183	126	563
184	127	561
185	127	559
186	128	557
187	128	555
188	129	554
189	129	552
190	129	550
191	130	548
192	130	546
193	131	545
194	131	543
195	132	542
196	132	540
197	133	538
198	133	537
199	133	535
200	134	534
201	134	532
202	135	530
203	135	529
204	136	527
205	136	525
206	136	524
207	137	522
208	137	521
209	138	519
210	138	518
211	139	516
212	139	515
213	140	514
214	140	513
215	141	512
216	141	510
217	142	509
218	142	508
219	143	507
220	143	505
221	143	504
222	144	502
223	144	501
224	145	499
225	145	498
226	145	497
227	146	495
228	146	494
229	147	493
230	147	491
231	148	490
232	148	488
233	148	487
234	149	486
235	149	484
236	150	483
237	150	482
238	151	480
239	151	479
240	151	478
241	152	477
242	152	475
243	153	474
244	153	473
245	154	472
246	154	471
247	154	469
248	155	468
249	155	467
250	156	465
251	156	464
252	156	462
253	157	461
254	157	459
255	157	458
256	158	457
257	158	456
258	158	454
259	159	453
